merk;cashback;min_pembelian;tipe;disc;before_disc;after_disc;harga_Fix
Guess;25% Cashback;Min. pembelian  Rp299.000.;Emiliya Slg Large Zip Around;None;None;None;None
Guess;25% Cashback;Min. pembelian  Rp299.000.;Eco Elements Girlfriend Satchel Bag;-10%;Rp 2.878.800;Rp 2.590.920;Rp 2.590.920
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;Fabric Tote Bag;-35%;Rp 869.000;None;Rp564.850
agnès b.;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Card Case;-42%;Rp 1.779.000;None;Rp1.036.350
agnès b.;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Classic Logo Tote Bag;-13%;Rp 5.379.000;None;Rp4.691.100
agnès b.;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Long Wallet;-30%;Rp 3.579.000;None;Rp2.534.250
agnès b.;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Shoulder Sling Bag;-24%;Rp 3.909.000;None;Rp2.977.200
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;Logo Embroidery Tote Bag;-35%;Rp 5.379.000;None;Rp3.496.350
agnès b.;6% Cashback;Tanpa min. pembelian.;Bucket Leather Backpack;-60%;Rp 5.519.000;Rp 2.207.600;Rp 2.207.600
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Manhattan Belt Bag;-5%;Rp 1.759.700;Rp 1.671.715;Rp 1.671.715
agnès b.;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Tri-Fold Wallet;-6%;Rp 2.969.000;None;Rp2.819.000
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Pliage Original Shoulder Bag (hz);-5%;Rp 2.959.000;Rp 2.811.050;Rp 2.811.050
agnès b.;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Sling Bag;-4%;Rp 4.109.000;None;Rp3.959.000
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Pliage Original Shoulder Bag (hz);-10%;Rp 2.959.000;Rp 2.663.100;Rp 2.663.100
LONGCHAMP;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Le Pliage Original Top Handle Bag M (hz);-15%;Rp 2.659.000;Rp 2.260.150;Rp 2.260.150
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;Shoulder Tote Bag;-35%;Rp 1.979.000;None;Rp1.286.350
MICHAEL KORS;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Fulton Large Leather Crossbody Bag (nt);-27%;Rp 4.866.000;None;Rp3.592.800
MICHAEL KORS;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Teagen Bucket Shoulder Bag (nt);-13%;Rp 6.727.000;None;Rp5.890.650
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Pliage Club Shoulder Bag (hz);-25%;Rp 2.709.000;Rp 2.031.750;Rp 2.031.750
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Pliage Club Shoulder Bag (hz);-20%;Rp 2.989.000;Rp 2.391.200;Rp 2.391.200
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Jet Set Travel Small Zip Tote Bag (nt);-42%;Rp 9.279.000;None;Rp5.428.215
Gucci;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;GG Canvas Hobo Bag (nt);-32%;Rp 44.387.000;None;Rp30.570.900
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Rhea Zip Medium Leather Backpack (hz);-35%;Rp 7.029.000;None;Rp4.568.850
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Pliage Club Shoulder Bag (hz);-15%;Rp 2.709.000;Rp 2.302.650;Rp 2.302.650
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Pliage Original Shoulder Bag (hz);-10%;Rp 2.959.000;Rp 2.663.100;Rp 2.663.100
MICHAEL KORS;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Shopper Maisie LG 3 in 1 Tote Bag (nt);-11%;Rp 9.348.000;None;Rp8.380.600
Gucci;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Canvas Leather Sling Bag (nt);-30%;Rp 32.829.000;Rp 22.980.300;Rp 22.980.300
MICHAEL KORS;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Jet Set Large Nylon Crossbody Bag (hz);None;None;None;None
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Pliage Original Shoulder Bags S (hz);-15%;Rp 2.849.000;Rp 2.421.650;Rp 2.421.650
MICHAEL KORS;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Adele Double Zipped Wallet (hz);-10%;Rp 2.929.000;Rp 2.636.100;Rp 2.636.100
MICHAEL KORS;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Small Convertible Top Zip Tote Bag (hz);-3%;Rp 5.159.000;None;Rp5.009.000
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Raven Large Leather Shoulder Bag (hz);-42%;Rp 8.509.000;None;Rp4.977.765
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Manhattan Backpack;None;None;None;None
Guess;6% Cashback;Tanpa min. pembelian.;Betty Gym Bag;-70%;Rp 2.219.000;Rp 665.700;Rp 665.700
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Jet Set Crossbody Bag (nt);-49%;Rp 9.338.960;None;Rp4.856.259
MICHAEL KORS;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Fulton Large Leather Crossbody Bag (nt);-30%;Rp 5.314.000;None;Rp3.751.200
MICHAEL KORS;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Jet Set Charm Neck Strap Cardholder (hz);-29%;Rp 1.799.000;None;Rp1.289.200
Guess;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Fantine Tote Bag;-50%;Rp 3.239.000;Rp 1.619.500;Rp 1.619.500
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Kristle Top Handle Flap Bag;-41%;Rp 2.754.169;Rp 1.652.501;Rp 1.652.501
Gucci;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Microguccissima Bifold Wallet (nt);-38%;Rp 14.419.000;None;Rp9.072.350
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Alexia Crossbody Bag;-48%;Rp 4.719.000;None;Rp2.453.880
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Ocarina Backpack;-45%;Rp 4.329.000;None;Rp2.391.773
VALENTINO by Mario Valentino;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Licor Crossbody Bag;-64%;Rp 3.739.000;None;Rp1.382.550
Coccinelle;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Metallic Soft Wallet;-58%;Rp 2.142.000;None;Rp921.000
Coccinelle;6% Cashback;Tanpa min. pembelian.;Metallic Soft Wallet;-50%;Rp 2.142.000;Rp 1.071.000;Rp 1.071.000
MICHAEL KORS;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Jet Set Travel Shoulder Tote Bag (nt);-33%;Rp 10.589.000;None;Rp7.112.300
Gucci;25% Cashback;Min. pembelian  Rp299.000.;Large Flap Wallet (nt);-25%;Rp 18.669.000;Rp 14.001.750;Rp 14.001.750
VALENTINO by Mario Valentino;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Avern Backpack;-51%;Rp 5.669.000;None;Rp2.817.950
agnès b.;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Leather Crossbody Bag;-46%;Rp 5.129.000;None;Rp2.777.400
LONGCHAMP;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Le Pliage Green Card Holder (nt);-29%;Rp 1.779.000;None;Rp1.273.200
Furla;35% off + 5% Cashback;Tanpa min. pembelian.;Regina L Tote Bag (zt);-61%;Rp 10.959.000;None;Rp4.274.010
VALENTINO by Mario Valentino;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Avern Zip Around Wallet;-57%;Rp 1.049.000;None;Rp461.560
TORY BURCH;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Emerson Medium Wallet;-38%;Rp 6.089.000;None;Rp3.807.850
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Boheme Grana Handbag;-55%;Rp 6.538.000;None;Rp2.974.790
agnès b.;6% Cashback;Tanpa min. pembelian.;Leather Shoulder Tote Bag;-50%;Rp 6.509.000;Rp 3.254.500;Rp 3.254.500
Furla;35% off + 5% Cashback;Tanpa min. pembelian.;Opportunity S Tote Bag (zt);-61%;Rp 9.899.000;None;Rp3.860.610
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Avern Bi-fold Wallet;-45%;Rp 1.669.000;Rp 917.950;Rp 917.950
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Liya Sling Bag;-55%;Rp 6.393.000;None;Rp2.908.815
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Liya Top Handle Bag;-55%;Rp 7.037.000;None;Rp3.201.835
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Gleen Tote Bag;-55%;Rp 5.684.000;None;Rp2.586.220
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Gleen Shoulder Bag;-55%;Rp 3.494.000;None;Rp1.589.770
VALENTINO by Mario Valentino;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Juniper Crossbody Bag;-64%;Rp 3.739.000;None;Rp1.382.550
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Juniper Wallet;-61%;Rp 1.099.000;None;Rp428.610
Coccinelle;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Gladys Top Handle Crossbody Bag;-45%;Rp 6.538.000;None;Rp3.622.800
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Boheme Grana Double Sling Bag;-48%;Rp 6.538.000;None;Rp3.399.760
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Special Ross Rucksack;-60%;Rp 4.719.000;Rp 1.887.600;Rp 1.887.600
VALENTINO by Mario Valentino;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Juniper Wallet;-63%;Rp 1.759.000;None;Rp659.625
VALENTINO by Mario Valentino;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Nicum Zip Around Wallet;-63%;Rp 1.049.000;None;Rp393.375
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Gleen Sling Bag;-55%;Rp 4.847.000;None;Rp2.205.385
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Jet Set Girls Continental Wallet (hz);-42%;Rp 5.539.000;None;Rp3.240.315
TORY BURCH;35% off + 5% Cashback;Tanpa min. pembelian.;Robinson Zip Slim Wallet (hz);-35%;Rp 5.559.000;None;Rp3.613.350
Ferragamo;35% off + 5% Cashback;Tanpa min. pembelian.;Viva Bow Card Case (zt);-55%;Rp 10.929.000;None;Rp4.972.695
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Olive Crossbody Bag;-61%;Rp 3.249.000;None;Rp1.267.110
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Big Foot Statement Sling Bag;-25%;Rp 3.069.000;Rp 2.301.750;Rp 2.301.750
VALENTINO by Mario Valentino;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Avern Zip Around Wallet;-57%;Rp 1.049.000;None;Rp461.560
Guess;6% Cashback;Tanpa min. pembelian.;Noelle Chit Chat Bag;-56%;Rp 1.562.669;Rp 703.201;Rp 703.201
Guess;25% Cashback;Min. pembelian  Rp299.000.;Galeria Camera Bag;None;None;None;None
Ferragamo;35% off + 5% Cashback;Tanpa min. pembelian.;Viva Card Case (zt);-55%;Rp 10.929.000;None;Rp4.972.695
Coach;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Beat Shoulder Bag (cv);-43%;Rp 11.869.000;None;Rp6.821.400
agnès b.;6% Cashback;Tanpa min. pembelian.;Front-Flap Accordion Wallet;-60%;Rp 2.329.000;Rp 931.600;Rp 931.600
Coach;35% off + 5% Cashback;Tanpa min. pembelian.;Mollie Tote Bag (nt);-35%;Rp 13.069.000;None;Rp8.494.850
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Shoulder Tote Bag;-5%;Rp 1.379.000;Rp 1.310.050;Rp 1.310.050
Coach;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Long Zip Around Wallet (nt);-54%;Rp 8.709.000;None;Rp4.054.500
Furla;35% off + 5% Cashback;Tanpa min. pembelian.;Charlie Mini Crossbody Bag (zt);-61%;Rp 10.269.000;None;Rp4.004.910
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Logo Shoulder Bag;-25%;Rp 5.379.000;Rp 4.034.250;Rp 4.034.250
Kate Spade;25% Cashback;Min. pembelian  Rp299.000.;Knott Pebbled Leather Zip Slim Wallet;-40%;Rp 5.299.000;Rp 3.179.400;Rp 3.179.400
Kate Spade;35% off + 5% Cashback;Tanpa min. pembelian.;Knott Pebbled Leather Slim Continental Wallet;-58%;Rp 6.329.000;None;Rp2.674.003
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Déménagement Bum Bag (hz);-55%;Rp 5.739.000;None;Rp2.611.245
Furla;35% off + 5% Cashback;Tanpa min. pembelian.;1927 Soft Mini Crossbody Bag (zt);-61%;Rp 6.369.000;None;Rp2.483.910
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Boston Bag;-25%;Rp 3.779.000;Rp 2.834.250;Rp 2.834.250
TORY BURCH;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Emerson Small Tote Bag;-24%;Rp 13.319.000;None;Rp10.155.200
TORY BURCH;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Emerson Medium Wallet;-40%;Rp 6.529.000;None;Rp3.943.850
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Parisis Crossbody Bag (hz);-55%;Rp 5.739.000;None;Rp2.611.245
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Beat Soft Sling Bag;-55%;Rp 5.443.000;None;Rp2.476.565
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Logo Crossbody Bag;-20%;Rp 1.379.000;Rp 1.103.200;Rp 1.103.200
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Liya Top Handle Bag;-55%;Rp 5.443.000;None;Rp2.476.565
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Liya Matelasse Top Handle Bag;-55%;Rp 8.132.000;None;Rp3.700.060
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Gleen Sling Bag;-55%;Rp 4.847.000;None;Rp2.205.385
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Liya Sling Bag;-45%;Rp 4.348.000;None;Rp2.402.270
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Gleen Tote Bag;-55%;Rp 5.684.000;None;Rp2.586.220
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Beat Soft Sling Bag;-55%;Rp 3.494.000;None;Rp1.589.770
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Enchanteuse Sling Bag;-55%;Rp 3.253.000;None;Rp1.480.115
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Enchanteuse Sling Bag;-55%;Rp 3.253.000;None;Rp1.480.115
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Boheme Grana Double Sling Bag;-55%;Rp 6.538.000;None;Rp2.974.790
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Tandoori Top-Handle Bag;-48%;Rp 4.719.000;None;Rp2.453.880
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Superman Sling Bag;-48%;Rp 2.569.000;None;Rp1.335.880
Coach;35% off + 5% Cashback;Tanpa min. pembelian.;Hutton Quilting Clutch (cv);-48%;Rp 8.909.000;None;Rp4.632.680
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Boheme Grana Double Shoulder Bag;-55%;Rp 7.681.000;None;Rp3.494.855
Kate Spade;25% Cashback;Min. pembelian  Rp299.000.;Spencer Tomato Dot Embellished Saffiano Leather Small Slim Bifold Wallet;-40%;Rp 4.069.000;Rp 2.441.400;Rp 2.441.400
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Charlotte Large Top-zip Tote (hz);-42%;Rp 9.338.960;None;Rp5.463.292
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Carrie Croco Soft Shoulder Bag;-55%;Rp 4.348.000;None;Rp1.978.340
Coach;25% Cashback;Min. pembelian  Rp299.000.;Faye Crossbody Bag (cv);-15%;Rp 12.469.000;Rp 10.598.650;Rp 10.598.650
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Beat Soft Ribbon Sling Bag;-55%;Rp 4.589.000;None;Rp2.087.995
Guess;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Kristle Girlfriend Satchel Bag;-21%;Rp 2.995.069;Rp 2.396.055;Rp 2.396.055
Guess;25% Cashback;Min. pembelian  Rp299.000.;Eco Elements Girlfriend Satchel Bag;-10%;Rp 2.878.800;Rp 2.590.920;Rp 2.590.920
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Divina Sa Bi-fold Wallet;-45%;Rp 1.709.000;Rp 939.950;Rp 939.950
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Juniper Wallet;-61%;Rp 1.709.000;None;Rp666.510
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Avern Zip Around Wallet;-61%;Rp 1.799.000;None;Rp701.610
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Avern Bi-fold Wallet;-61%;Rp 1.669.000;None;Rp650.910
MICHAEL KORS;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Jet Set Travel Md Dome Crossbody Bag (hz);-32%;Rp 12.876.445;None;Rp8.863.512
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Jet Set Travel Zip Around Card Case (hz);-42%;Rp 3.509.000;None;Rp2.052.765
agnès b.;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Ras33-04 Sling Bag;-36%;Rp 5.979.000;None;Rp3.885.300
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Whisky Bi-Fold Wallet;-61%;Rp 1.579.000;None;Rp615.810
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Divina Zip Around Wallet;-50%;Rp 1.099.000;Rp 549.500;Rp 549.500
Coccinelle;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Arlettis Wallet;-60%;Rp 2.947.000;None;Rp1.178.800
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Jet Set Travel Medium Card Case (hz);-42%;Rp 3.509.000;None;Rp2.052.765
agnès b.;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Leather Sling Bag;-32%;Rp 4.389.000;None;Rp2.991.750
Coach;25% Cashback;Min. pembelian  Rp299.000.;City Tote Bag In Signature Canvas (nt);-10%;Rp 10.779.000;Rp 9.701.100;Rp 9.701.100
VALENTINO by Mario Valentino;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Tonic Wallet;-64%;Rp 1.049.000;None;Rp377.640
Coccinelle;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Tassel Wallet;-49%;Rp 1.304.000;None;Rp665.040
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;Metal Logo Backpack;-39%;Rp 4.389.000;None;Rp2.710.208
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Logo Crossbody Bag;-25%;Rp 3.999.000;Rp 2.999.250;Rp 2.999.250
Furla;35% off + 5% Cashback;Tanpa min. pembelian.;Villa Mini Crossbody Wallet (zt);-61%;Rp 7.519.000;None;Rp2.932.410
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Pliage Cuir Backpack (hz);-55%;Rp 10.289.000;None;Rp4.681.495
Coccinelle;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Tassel Wallet;-57%;Rp 1.304.000;None;Rp573.760
TORY BURCH;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Emerson Straw Nano Tote Bag;-35%;Rp 10.649.000;None;Rp6.954.300
agnès b.;25% Cashback;Min. pembelian  Rp299.000.;Shoulder Tote Bag;-25%;Rp 1.779.000;Rp 1.334.250;Rp 1.334.250
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Arlettis Sling Bag;-55%;Rp 5.040.000;None;Rp2.293.200
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;Script Logo Backpack;-48%;Rp 3.999.000;None;Rp2.079.480
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Lyra Pouch;-55%;Rp 2.142.000;None;Rp974.610
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Carrie Shoulder Bag;-55%;Rp 3.849.000;None;Rp1.751.295
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Rosie Backpack;-55%;Rp 4.042.000;None;Rp1.839.110
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Beat Soft Ribbon Sling Bag;-55%;Rp 4.589.000;None;Rp2.087.995
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Flor Phone Bag;-42%;Rp 2.641.000;None;Rp1.544.985
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Metallic Soft Wallet;-55%;Rp 1.755.000;None;Rp798.525
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Diletta Sling Bag;-55%;Rp 3.945.000;None;Rp1.794.975
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Gleen Backpack;-55%;Rp 5.942.000;None;Rp2.703.610
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Liya Top Handle Bag;-55%;Rp 5.443.000;None;Rp2.476.565
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Boheme Grana Double Shoulder Bag;-55%;Rp 7.681.000;None;Rp3.494.855
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Beat Soft Mini Bag;-45%;Rp 2.142.000;None;Rp1.183.455
Coccinelle;35% off + 5% Cashback;Tanpa min. pembelian.;Beat Soft Sling Bag;-55%;Rp 3.494.000;None;Rp1.589.770
Guess;25% Cashback;Min. pembelian  Rp299.000.;Giully Convertible Flap Crossbody Bag;None;None;None;None
Guess;25% Cashback;Min. pembelian  Rp299.000.;Enisa Flap Top Handbag;None;None;None;None
agnès b.;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Leather Top-Handle Bag;-38%;Rp 5.669.000;None;Rp3.534.850
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Olive Bi-fold Wallet;-61%;Rp 1.759.000;None;Rp686.010
agnès b.;6% Cashback;Tanpa min. pembelian.;Logo Tote Bag;-20%;Rp 1.929.000;Rp 1.543.200;Rp 1.543.200
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Avern Zip Around Wallet;-60%;Rp 1.579.000;Rp 631.600;Rp 631.600
agnès b.;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Leather Crossbody Bag;-38%;Rp 4.279.000;None;Rp2.661.350
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Divina Cardholder;-39%;Rp 919.000;None;Rp567.483
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Divina Zip Around Wallet;-48%;Rp 1.099.000;None;Rp571.480
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Olive Coin Holder;-60%;Rp 1.099.000;Rp 439.600;Rp 439.600
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Olive Wallet;-61%;Rp 1.759.000;None;Rp686.010
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Jet Set Girls Continental Crossbody Bag (hz);-48%;Rp 8.509.000;None;Rp4.424.680
TORY BURCH;35% off + 5% Cashback;Tanpa min. pembelian.;Miller Top-Zip Card Case (hz);-42%;Rp 4.199.000;None;Rp2.456.415
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Jet Set Travel Continental Wallet (hz);-48%;Rp 3.689.000;None;Rp1.918.280
agnès b.;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Long Wallet;-48%;Rp 3.779.000;None;Rp1.967.400
VALENTINO by Mario Valentino;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Ocarina Bi-Fold Wallet;-60%;Rp 1.759.000;Rp 703.600;Rp 703.600
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Jet Set Item Chain Crossbody Bag (hz);-42%;Rp 9.239.000;None;Rp5.404.815
agnès b.;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Pas04-01 Shoulder Tote;-46%;Rp 5.379.000;None;Rp2.927.400
Coccinelle;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Metallic Soft Card Case;-57%;Rp 1.755.000;None;Rp772.200
VALENTINO by Mario Valentino;6% Cashback;Tanpa min. pembelian.;Divina Bi-fold Wallet;-60%;Rp 1.709.000;Rp 683.600;Rp 683.600
Coccinelle;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Gleen Monogram Backpack;-59%;Rp 5.684.000;None;Rp2.342.000
MICHAEL KORS;35% off + 5% Cashback;Tanpa min. pembelian.;Logo Wallet with Card Case (hz);-42%;Rp 4.789.000;None;Rp2.801.565
VALENTINO by Mario Valentino;35% off + 5% Cashback;Tanpa min. pembelian.;Ocarina Bi-fold Wallet;-45%;Rp 1.759.000;None;Rp971.848
Coccinelle;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Metallic Soft Card Case;-59%;Rp 1.755.000;None;Rp727.500
Coccinelle;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Gleen Monogram Backpack;-59%;Rp 5.684.000;None;Rp2.342.000
agnès b.;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Leather Crossbody Bag;-28%;Rp 5.669.000;None;Rp4.101.750
MICHAEL KORS;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Flap Clutch (nt);-37%;Rp 7.959.000;None;Rp5.071.300
Coach;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Dinky Crossbody Bag (cv);-37%;Rp 10.499.000;None;Rp6.674.350
